"Source:","/home/lukas/Dokumente/keychordz/nRF52840Breakout/nRF52840Breakout.kicad_sch"
"Date:","Di 09 Mär 2021 19:13:43 CET"
"Tool:","Eeschema (5.99.0-9634-gb691c18bfc)"
"Generator:","/usr/share/kicad-nightly/plugins/bom_csv_grouped_by_value.py"
"Component Count:","33"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","LCSC Part #"
"6","1","C9","820pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","",""
"7","2","C10, C13","nc","Device:C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","",""
"8","1","C11","100pF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","",""
"9","2","C14, C15","1µF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","",""
"10","1","C16","47nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","",""
"11","2","C19, C21","4.7µF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","",""
"12","3","J1, J2, J3","Conn_01x20_Female","Connector:Conn_01x20_Female","Connector_PinHeader_1.00mm:CastelatedHoles 1mm","~","",""
"13","1","L1","3.9nH","Device:L_Small","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","",""
"14","2","L2, L4","10µH","Device:L_Small","Inductor_SMD:L_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","",""
"15","1","L3","15nH","Device:L_Small","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","",""
"16","1","R1","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","",""
"17","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_PTS636","~","",""
"18","1","U1","nRF52840","MCU_Nordic:nRF52840","Package_DFN_QFN:Nordic_AQFN-73-1EP_7x7mm_P0.5mm","http://infocenter.nordicsemi.com/topic/com.nordic.infocenter.nrf52/dita/nrf52/chips/nrf52840.html","C190794","C190794"
"19","1","X1","Crystal","Device:Crystal","SamacSys_Parts:XRCGB32M000F2P01R0","~","",""
"20","1","X2","32.768kHz","Device:Crystal","Crystal:Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering","~","",""
